,date,sentimentScore
0,2014-01-01,-2.2491888306054326
1,2014-01-02,-2.1750950751652045
2,2014-01-03,-2.1688797395860466
3,2014-01-04,-2.185738888142581
4,2014-01-05,-2.1720020182966384
5,2014-01-06,-2.138117884409253
6,2014-01-07,-2.1588467603127937
7,2014-01-08,-2.1601954885122474
8,2014-01-09,-2.1690770509753077
9,2014-01-10,-2.1750694018951044
10,2014-01-11,-2.175790886657869
11,2014-01-12,-2.1909465385863007
12,2014-01-13,-2.162559079767958
13,2014-01-14,-2.1661948809152904
14,2014-01-15,-2.1694696203209527
15,2014-01-16,-2.17252203971783
16,2014-01-17,-2.180644441173415
17,2014-01-18,-2.194181780274607
18,2014-01-19,-2.185946772339145
19,2014-01-20,-2.1262847397421836
20,2014-01-21,-2.1406081919396223
21,2014-01-22,-2.150464092335614
22,2014-01-23,-2.1545145278167213
23,2014-01-24,-2.1560153954991192
24,2014-01-25,-2.1719073663162907
25,2014-01-26,-2.1737565259354588
26,2014-01-27,-2.141733919184558
27,2014-01-28,-2.157611181796708
28,2014-01-29,-2.159278357988824
29,2014-01-30,-2.141437170653652
30,2014-01-31,-2.137482967559951
31,2014-02-01,-2.1376860850263295
32,2014-02-02,-2.1266316881711496
33,2014-02-03,-2.1126612465533205
34,2014-02-04,-2.11274498224811
35,2014-02-05,-2.116778675424698
36,2014-02-06,-2.121793472147068
37,2014-02-07,-2.1074189255492333
38,2014-02-08,-2.11499219724595
39,2014-02-09,-2.134246943344011
40,2014-02-10,-2.1013731821131394
41,2014-02-11,-2.103840645371372
42,2014-02-12,-2.060934297815674
43,2014-02-13,-2.090080512663649
44,2014-02-14,-2.0878161669109745
45,2014-02-15,-2.110265013286353
46,2014-02-16,-2.1264920600876893
47,2014-02-17,-2.0925270892081
48,2014-02-18,-2.095013848510113
49,2014-02-19,-2.089354788068818
50,2014-02-20,-2.088058634969166
51,2014-02-21,-2.0854800885366074
52,2014-02-22,-2.1082942131781803
53,2014-02-23,-2.095982996589558
54,2014-02-24,-2.0618288529280093
55,2014-02-25,-2.0600286926239724
56,2014-02-26,-2.070118456917034
57,2014-02-27,-2.084327723213625
58,2014-02-28,-2.0911917693204427
59,2014-03-01,-2.1150033587511476
60,2014-03-02,-2.121991490000124
61,2014-03-03,-2.0775098040880144
62,2014-03-04,-2.0761011851404954
63,2014-03-05,-2.0954280350361136
64,2014-03-06,-2.1094705262287334
65,2014-03-07,-2.1233731747131466
66,2014-03-08,-2.132868199858733
67,2014-03-09,-2.1382838454255886
68,2014-03-10,-2.112331399809587
69,2014-03-11,-2.1279062130487607
70,2014-03-12,-2.1187783412950063
71,2014-03-13,-2.130648923754999
72,2014-03-14,-2.133031071539159
73,2014-03-15,-2.1631699661147654
74,2014-03-16,-2.165602216691057
75,2014-03-17,-2.132389445812925
76,2014-03-18,-2.1661375422625055
77,2014-03-19,-2.144206637770719
78,2014-03-20,-2.1483209890945942
79,2014-03-21,-2.134648519418919
80,2014-03-22,-2.1520321360535415
81,2014-03-23,-2.1685040497018813
82,2014-03-24,-2.1367905441657826
83,2014-03-25,-2.151453123974048
84,2014-03-26,-2.1430106563336624
